Taxa Selic - Dados diários;Filtros aplicados: Data inicial: 02/01/2002 / Data final: 02/01/2012.;;;;;;;;;
Data;Taxa (% a.a.);Fator diário;Financeiro (R$);Operações;Média;Mediana;Moda;Desvio padrão;Índice de curtose;
22/06/2011;12,17;1,00045584;0;0;0;0;0;0;0;
21/06/2011;12,17;1,00045584;0;0;0;0;0;0;0;
20/06/2011;12,17;1,00045584;0;0;0;0;0;0;0;
17/06/2011;12,17;1,00045584;0;0;0;0;0;0;0;
16/06/2011;12,17;1,00045584;0;0;0;0;0;0;0;
15/06/2011;12,17;1,00045584;0;0;0;0;0;0;0;
14/06/2011;12,17;1,00045584;0;0;0;0;0;0;0;
13/06/2011;12,17;1,00045584;0;0;0;0;0;0;0;
10/06/2011;12,17;1,00045584;0;0;0;0;0;0;0;
09/06/2011;12,17;1,00045584;0;0;0;0;0;0;0;
08/06/2011;11,92;1,00044698;0;0;0;0;0;0;0;
07/06/2011;11,92;1,00044698;0;0;0;0;0;0;0;
06/06/2011;11,92;1,00044698;0;0;0;0;0;0;0;
03/06/2011;11,92;1,00044698;0;0;0;0;0;0;0;
02/06/2011;11,92;1,00044698;0;0;0;0;0;0;0;
01/06/2011;11,92;1,00044698;0;0;0;0;0;0;0;
31/05/2011;11,92;1,00044698;0;0;0;0;0;0;0;
30/05/2011;11,92;1,00044698;0;0;0;0;0;0;0;
27/05/2011;11,92;1,00044698;0;0;0;0;0;0;0;
26/05/2011;11,92;1,00044698;0;0;0;0;0;0;0;
25/05/2011;11,92;1,00044698;0;0;0;0;0;0;0;
24/05/2011;11,92;1,00044698;0;0;0;0;0;0;0;
23/05/2011;11,92;1,00044698;0;0;0;0;0;0;0;
20/05/2011;11,92;1,00044698;0;0;0;0;0;0;0;
19/05/2011;11,92;1,00044698;0;0;0;0;0;0;0;
18/05/2011;11,92;1,00044698;0;0;0;0;0;0;0;
17/05/2011;11,92;1,00044698;0;0;0;0;0;0;0;
16/05/2011;11,92;1,00044698;0;0;0;0;0;0;0;
13/05/2011;11,92;1,00044698;0;0;0;0;0;0;0;
12/05/2011;11,92;1,00044698;0;0;0;0;0;0;0;
11/05/2011;11,92;1,00044698;0;0;0;0;0;0;0;
10/05/2011;11,92;1,00044698;0;0;0;0;0;0;0;
09/05/2011;11,92;1,00044698;0;0;0;0;0;0;0;
06/05/2011;11,92;1,00044698;0;0;0;0;0;0;0;
05/05/2011;11,92;1,00044698;0;0;0;0;0;0;0;
04/05/2011;11,92;1,00044698;0;0;0;0;0;0;0;
03/05/2011;11,92;1,00044698;0;0;0;0;0;0;0;
02/05/2011;11,92;1,00044698;0;0;0;0;0;0;0;
29/04/2011;11,92;1,00044698;0;0;0;0;0;0;0;
28/04/2011;11,92;1,00044698;0;0;0;0;0;0;0;
27/04/2011;11,92;1,00044698;0;0;0;0;0;0;0;
26/04/2011;11,92;1,00044698;0;0;0;0;0;0;0;
25/04/2011;11,92;1,00044698;0;0;0;0;0;0;0;
20/04/2011;11,67;1,00043810;0;0;0;0;0;0;0;
19/04/2011;11,67;1,00043810;0;0;0;0;0;0;0;
18/04/2011;11,67;1,00043810;0;0;0;0;0;0;0;
15/04/2011;11,67;1,00043810;0;0;0;0;0;0;0;
14/04/2011;11,67;1,00043810;0;0;0;0;0;0;0;
13/04/2011;11,67;1,00043810;0;0;0;0;0;0;0;
12/04/2011;11,67;1,00043810;0;0;0;0;0;0;0;
11/04/2011;11,67;1,00043810;0;0;0;0;0;0;0;
08/04/2011;11,67;1,00043810;0;0;0;0;0;0;0;
07/04/2011;11,67;1,00043810;0;0;0;0;0;0;0;
06/04/2011;11,67;1,00043810;0;0;0;0;0;0;0;
05/04/2011;11,67;1,00043810;0;0;0;0;0;0;0;
04/04/2011;11,67;1,00043810;0;0;0;0;0;0;0;
01/04/2011;11,67;1,00043810;0;0;0;0;0;0;0;
31/03/2011;11,67;1,00043810;0;0;0;0;0;0;0;
30/03/2011;11,67;1,00043810;0;0;0;0;0;0;0;
29/03/2011;11,67;1,00043810;0;0;0;0;0;0;0;
28/03/2011;11,67;1,00043810;0;0;0;0;0;0;0;
25/03/2011;11,67;1,00043810;0;0;0;0;0;0;0;
24/03/2011;11,67;1,00043810;0;0;0;0;0;0;0;
23/03/2011;11,67;1,00043810;0;0;0;0;0;0;0;
22/03/2011;11,67;1,00043810;0;0;0;0;0;0;0;
21/03/2011;11,67;1,00043810;0;0;0;0;0;0;0;
18/03/2011;11,67;1,00043810;0;0;0;0;0;0;0;
17/03/2011;11,67;1,00043810;0;0;0;0;0;0;0;
16/03/2011;11,67;1,00043810;0;0;0;0;0;0;0;
15/03/2011;11,67;1,00043810;0;0;0;0;0;0;0;
14/03/2011;11,67;1,00043810;0;0;0;0;0;0;0;
11/03/2011;11,67;1,00043810;0;0;0;0;0;0;0;
10/03/2011;11,67;1,00043810;0;0;0;0;0;0;0;
09/03/2011;11,67;1,00043810;0;0;0;0;0;0;0;
04/03/2011;11,67;1,00043810;0;0;0;0;0;0;0;
03/03/2011;11,67;1,00043810;0;0;0;0;0;0;0;
02/03/2011;11,17;1,00042029;0;0;0;0;0;0;0;
01/03/2011;11,17;1,00042029;0;0;0;0;0;0;0;
28/02/2011;11,17;1,00042029;0;0;0;0;0;0;0;
25/02/2011;11,17;1,00042029;0;0;0;0;0;0;0;
24/02/2011;11,17;1,00042029;0;0;0;0;0;0;0;
23/02/2011;11,17;1,00042029;0;0;0;0;0;0;0;
22/02/2011;11,17;1,00042029;0;0;0;0;0;0;0;
21/02/2011;11,17;1,00042029;0;0;0;0;0;0;0;
18/02/2011;11,17;1,00042029;0;0;0;0;0;0;0;
17/02/2011;11,17;1,00042029;0;0;0;0;0;0;0;
16/02/2011;11,17;1,00042029;0;0;0;0;0;0;0;
15/02/2011;11,17;1,00042029;0;0;0;0;0;0;0;
14/02/2011;11,17;1,00042029;0;0;0;0;0;0;0;
11/02/2011;11,17;1,00042029;0;0;0;0;0;0;0;
10/02/2011;11,17;1,00042029;0;0;0;0;0;0;0;
09/02/2011;11,17;1,00042029;0;0;0;0;0;0;0;
08/02/2011;11,17;1,00042029;0;0;0;0;0;0;0;
07/02/2011;11,17;1,00042029;0;0;0;0;0;0;0;
